iter	Passed	Remaining
849	4816	51850
850	4822	51846
851	4828	51840
852	4833	51835
853	4840	51837
854	4845	51831
855	4871	52043
856	4877	52040
857	4884	52039
858	4889	52032
859	4895	52027
860	4901	52024
861	4907	52019
862	4912	52015
863	4918	52010
864	4924	52005
865	4930	52000
866	4935	51994
867	4941	51989
868	4947	51987
869	4953	51984
870	4959	51980
871	4965	51976
872	4971	51971
873	4977	51970
874	4983	51966
875	4989	51963
876	4994	51959
877	5000	51953
878	5006	51951
879	5012	51946
880	5018	51941
881	5024	51939
882	5029	51934
883	5035	51929
884	5041	51927
885	5047	51922
886	5053	51919
887	5059	51915
888	5065	51913
889	5071	51910
890	5077	51904
891	5082	51900
892	5088	51895
893	5094	51892
894	5100	51886
895	5106	51880
896	5111	51877
897	5117	51871
898	5123	51870
899	5129	51867
900	5135	51864
901	5141	51861
902	5147	51855
903	5153	51852
904	5159	51848
905	5164	51842
906	5170	51837
907	5176	51830
908	5181	51824
909	5187	51820
910	5193	51817
911	5199	51813
912	5205	51808
913	5211	51805
914	5217	51801
915	5223	51796
916	5228	51789
917	5234	51785
918	5240	51781
919	5246	51778
920	5252	51774
921	5257	51767
922	5263	51761
923	5269	51756
924	5274	51750
925	5280	51744
926	5286	51741
927	5292	51739
928	5298	51736
929	5304	51733
930	5310	51729
931	5316	51723
932	5321	51718
933	5327	51712
934	5333	51706
935	5338	51700
936	5344	51696
937	5350	51692
938	5356	51687
939	5362	51682
940	5367	51676
941	5373	51671
942	5379	51666
943	5385	51659
944	5390	51652
945	5396	51646
946	5402	51642
947	5408	51638
948	5413	51632
949	5419	51628
950	5425	51621
951	5431	51617
952	5436	51610
953	5442	51603
954	5447	51597
955	5453	51590
956	5459	51584
957	5464	51580
958	5470	51575
959	5476	51571
960	5482	51566
961	5488	51561
962	5493	51555
963	5499	51550
964	5505	51542
965	5510	51536
966	5516	51531
967	5522	51526
968	5528	51523
969	5534	51518
970	5539	51511
971	5545	51507
972	5551	51502
973	5556	51495
974	5562	51490
975	5568	51484
976	5574	51480
977	5580	51476
978	5586	51472
979	5591	51467
980	5597	51462
981	5603	51458
982	5609	51452
983	5614	51445
984	5620	51441
985	5626	51436
986	5632	51430
987	5637	51425
988	5643	51420
989	5649	51416
990	5655	51410
991	5661	51405
992	5666	51399
993	5672	51393
994	5678	51390
995	5683	51384
996	5689	51380
997	5695	51376
998	5701	51372
999	5710	51398
1000	5717	51396
1001	5723	51396
1002	5729	51393
1003	5735	51392
1004	5741	51390
1005	5747	51385
1006	5753	51380
1007	5759	51374
1008	5764	51368
1009	5770	51361
1010	5776	51356
1011	5781	51349
1012	5787	51345
1013	5793	51339
1014	5798	51333
1015	5804	51327
1016	5810	51320
1017	5815	51312
1018	5821	51305
1019	5827	51302
1020	5833	51298
1021	5839	51294
1022	5844	51285
1023	5849	51276
1024	5855	51268
1025	5884	51465
1026	5889	51459
1027	5895	51452
1028	5901	51448
1029	5907	51442
1030	5912	51436
1031	5918	51431
1032	5924	51425
1033	5930	51422
1034	5935	51416
1035	5941	51408
1036	5947	51403
1037	5952	51396
1038	5958	51388
1039	5963	51378
1040	5968	51369
1041	5974	51362
1042	5980	51355
1043	5985	51347
1044	5991	51340
1045	5996	51334
1046	6002	51326
1047	6007	51320
1048	6013	51312
1049	6018	51303
1050	6024	51298
1051	6030	51290
1052	6035	51283
1053	6041	51274
1054	6046	51264
1055	6051	51256
1056	6057	51249
1057	6062	51242
1058	6068	51235
1059	6073	51227
1060	6079	51220
1061	6084	51212
1062	6090	51204
1063	6095	51196
1064	6101	51189
1065	6106	51181
1066	6112	51174
1067	6118	51166
1068	6123	51158
1069	6129	51152
1070	6134	51146
1071	6140	51137
1072	6145	51131
1073	6151	51125
1074	6157	51118
1075	6162	51111
1076	6168	51104
1077	6173	51097
1078	6179	51090
1079	6184	51082
1080	6190	51074
1081	6195	51067
1082	6201	51058
1083	6206	51049
1084	6211	51040
1085	6217	51033
1086	6222	51025
1087	6228	51017
1088	6233	51009
1089	6239	51001
1090	6244	50991
1091	6250	50984
1092	6255	50977
1093	6260	50968
1094	6266	50960
1095	6271	50952
1096	6277	50945
1097	6282	50937
1098	6288	50929
1099	6293	50920
1100	6299	50914
1101	6304	50909
1102	6310	50902
1103	6316	50894
1104	6326	50923
1105	6332	50922
1106	6338	50921
1107	6344	50916
1108	6350	50912
1109	6356	50906
1110	6361	50899
1111	6367	50894
1112	6373	50888
1113	6379	50883
1114	6384	50876
1115	6390	50869
1116	6395	50862
1117	6401	50856
1118	6407	50850
1119	6412	50843
1120	6418	50835
1121	6423	50829
1122	6429	50823
1123	6435	50817
1124	6440	50810
1125	6446	50804
1126	6452	50799
1127	6458	50793
1128	6463	50789
1129	6469	50783
1130	6475	50776
1131	6480	50770
1132	6486	50765
1133	6492	50759
1134	6498	50753
1135	6503	50748
1136	6509	50742
1137	6515	50736
1138	6520	50729
1139	6526	50724
1140	6532	50718
1141	6538	50714
1142	6543	50708
1143	6549	50700
1144	6554	50692
1145	6560	50686
1146	6565	50678
1147	6571	50671
